ET Cell ID	ET Cell Name	Ref ET MET ID	Met Latitude	Met Longitude	Met Elevation (feet)	Area weighted average Permeability - in/hr	Area weighted average WHC - in/ft	Average soil depth - in	Hydrologic Group (A-C) (A='coarse'  B='medium')	Hydrologic Group  (1-3) (1='coarse' 2='medium')	Aridity Rating (fromHuntington plus google)	Ref ET Data Path
542	542	151497	  44.8580	-107.1830	4069.95	-999	1.9200	60	B	2	50	
543	543	151495	  44.8580	-107.2670	4108.40	-999	1.4400	60	B	2	50	
544	544	151505	  44.8580	-106.8500	3697.90	-999	1.9200	60	B	2	50	
545	545	151502	  44.8580	-106.9750	3761.02	-999	1.9200	60	B	2	50	
546	546	151494	  44.8580	-107.3080	4528.48	-999	1.9200	60	B	2	50	
547	547	151497	  44.8580	-107.1830	4069.95	-999	1.9200	60	B	2	50	
548	548	151502	  44.8580	-106.9750	3761.02	-999	1.9200	60	B	2	50	
549	549	151496	  44.8580	-107.2250	4183.46	-999	1.9200	60	B	2	50	
55	55	157046	  44.6920	-106.9750	4075.59	-999	1.8000	60	B	2	50	
550	550	151495	  44.8580	-107.2670	4108.40	-999	1.5600	60	B	2	50	
551	551	151497	  44.8580	-107.1830	4069.95	-999	1.5600	60	B	2	50	
552	552	151494	  44.8580	-107.3080	4528.48	-999	1.9088	60	B	2	50	
553	553	151505	  44.8580	-106.8500	3697.90	-999	1.9200	60	B	2	50	
554	554	151495	  44.8580	-107.2670	4108.40	-999	1.9200	60	B	2	50	
555	555	151502	  44.8580	-106.9750	3761.02	-999	1.9200	60	B	2	50	
556	556	151497	  44.8580	-107.1830	4069.95	-999	1.9200	60	B	2	50	
557	557	151497	  44.8580	-107.1830	4069.95	-999	1.9200	60	B	2	50	
558	558	151497	  44.8580	-107.1830	4069.95	-999	1.9200	60	B	2	50	
559	559	151494	  44.8580	-107.3080	4528.48	-999	1.9200	60	B	2	50	
56	56	157046	  44.6920	-106.9750	4075.59	-999	1.9200	60	B	2	50	
560	560	150125	  44.9000	-106.6000	3963.65	-999	2.1600	60	B	2	50	
561	561	151502	  44.8580	-106.9750	3761.02	-999	1.9200	60	B	2	50	
562	562	151502	  44.8580	-106.9750	3761.02	-999	1.9200	60	B	2	50	
563	563	151494	  44.8580	-107.3080	4528.48	-999	1.9200	60	B	2	50	
564	564	151502	  44.8580	-106.9750	3761.02	-999	1.8860	60	B	2	50	
565	565	151495	  44.8580	-107.2670	4108.40	-999	1.9200	60	B	2	50	
566	566	151502	  44.8580	-106.9750	3761.02	-999	1.9131	60	B	2	50	
567	567	151497	  44.8580	-107.1830	4069.95	-999	1.9200	60	B	2	50	
568	568	151495	  44.8580	-107.2670	4108.40	-999	1.7707	60	B	2	50	
569	569	151495	  44.8580	-107.2670	4108.40	-999	1.9200	60	B	2	50	
57	57	159821	  44.6080	-106.8500	4499.34	-999	1.7128	60	B	2	50	
570	570	151495	  44.8580	-107.2670	4108.40	-999	1.9200	60	B	2	50	
571	571	151502	  44.8580	-106.9750	3761.02	-999	1.9200	60	B	2	50	
572	572	151495	  44.8580	-107.2670	4108.40	-999	1.9200	60	B	2	50	
573	573	151502	  44.8580	-106.9750	3761.02	-999	1.8203	60	B	2	50	
574	574	151502	  44.8580	-106.9750	3761.02	-999	1.8371	60	B	2	50	
575	575	151494	  44.8580	-107.3080	4528.48	-999	1.9200	60	B	2	50	
576	576	151497	  44.8580	-107.1830	4069.95	-999	1.9200	60	B	2	50	
577	577	151497	  44.8580	-107.1830	4069.95	-999	1.9200	60	B	2	50	
578	578	151502	  44.8580	-106.9750	3761.02	-999	1.9200	60	B	2	50	
579	579	151495	  44.8580	-107.2670	4108.40	-999	1.9200	60	B	2	50	
58	58	159822	  44.6080	-106.8080	4464.83	-999	1.9200	60	B	2	50	
580	580	151502	  44.8580	-106.9750	3761.02	-999	1.9200	60	B	2	50	
581	581	151496	  44.8580	-107.2250	4183.46	-999	1.9200	60	B	2	50	
582	582	151505	  44.8580	-106.8500	3697.90	-999	1.9200	60	B	2	50	
583	583	151502	  44.8580	-106.9750	3761.02	-999	1.5600	60	B	2	50	
584	584	151502	  44.8580	-106.9750	3761.02	-999	1.8991	60	B	2	50	
585	585	151502	  44.8580	-106.9750	3761.02	-999	1.8000	60	B	2	50	
586	586	151497	  44.8580	-107.1830	4069.95	-999	1.9200	60	B	2	50	
587	587	151502	  44.8580	-106.9750	3761.02	-999	1.8000	60	B	2	50	
588	588	151504	  44.8580	-106.8920	3841.99	-999	1.9200	60	B	2	50	
589	589	151497	  44.8580	-107.1830	4069.95	-999	1.9200	60	B	2	50	
59	59	159820	  44.6080	-106.8920	4945.67	-999	1.6800	60	B	2	50	
590	590	151502	  44.8580	-106.9750	3761.02	-999	1.8474	60	B	2	50	
591	591	151499	  44.8580	-107.1000	4063.78	-999	1.9200	60	B	2	50	
592	592	151497	  44.8580	-107.1830	4069.95	-999	1.9200	60	B	2	50	
593	593	151498	  44.8580	-107.1420	4111.81	-999	1.9200	60	B	2	50	
594	594	151505	  44.8580	-106.8500	3697.90	-999	1.9200	60	B	2	50	
595	595	151495	  44.8580	-107.2670	4108.40	-999	1.9200	60	B	2	50	
596	596	151498	  44.8580	-107.1420	4111.81	-999	1.9200	60	B	2	50	
597	597	151499	  44.8580	-107.1000	4063.78	-999	1.9200	60	B	2	50	
598	598	151502	  44.8580	-106.9750	3761.02	-999	1.8897	60	B	2	50	
599	599	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
6	6	152891	  44.8170	-106.8500	3859.06	-999	1.9200	60	B	2	50	
60	60	159821	  44.6080	-106.8500	4499.34	-999	1.6800	60	B	2	50	
600	600	151502	  44.8580	-106.9750	3761.02	-999	1.9200	60	B	2	50	
601	601	151497	  44.8580	-107.1830	4069.95	-999	1.9200	60	B	2	50	
602	602	151504	  44.8580	-106.8920	3841.99	-999	1.9200	60	B	2	50	
603	603	151505	  44.8580	-106.8500	3697.90	-999	1.9200	60	B	2	50	
604	604	151505	  44.8580	-106.8500	3697.90	-999	1.9200	60	B	2	50	
605	605	152888	  44.8170	-106.9750	3859.19	-999	1.8063	60	B	2	50	
606	606	151504	  44.8580	-106.8920	3841.99	-999	1.9200	60	B	2	50	
607	607	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
608	608	151502	  44.8580	-106.9750	3761.02	-999	1.9200	60	B	2	50	
609	609	151502	  44.8580	-106.9750	3761.02	-999	1.9200	60	B	2	50	
61	61	152886	  44.8170	-107.0580	4123.88	-999	1.9200	60	B	2	50	
610	610	151505	  44.8580	-106.8500	3697.90	-999	1.9200	60	B	2	50	
611	611	151506	  44.8580	-106.8080	3803.54	-999	1.9274	60	B	2	50	
612	612	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
613	613	151504	  44.8580	-106.8920	3841.99	-999	1.9200	60	B	2	50	
614	614	152888	  44.8170	-106.9750	3859.19	-999	1.9200	60	B	2	50	
615	615	152890	  44.8170	-106.8920	3835.30	-999	1.9200	60	B	2	50	
616	616	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
617	617	152890	  44.8170	-106.8920	3835.30	-999	1.9200	60	B	2	50	
618	618	152888	  44.8170	-106.9750	3859.19	-999	1.9200	60	B	2	50	
619	619	152891	  44.8170	-106.8500	3859.06	-999	1.9200	60	B	2	50	
62	62	152887	  44.8170	-107.0170	4041.08	-999	1.9200	60	B	2	50	
620	620	152882	  44.8170	-107.2250	4371.00	-999	1.9200	60	B	2	50	
621	621	152882	  44.8170	-107.2250	4371.00	-999	1.9200	60	B	2	50	
622	622	152892	  44.8170	-106.8080	3853.41	-999	1.9200	60	B	2	50	
623	623	152888	  44.8170	-106.9750	3859.19	-999	1.9200	60	B	2	50	
624	624	152891	  44.8170	-106.8500	3859.06	-999	1.9200	60	B	2	50	
625	625	152888	  44.8170	-106.9750	3859.19	-999	1.8000	60	B	2	50	
626	626	152888	  44.8170	-106.9750	3859.19	-999	1.8070	60	B	2	50	
627	627	152888	  44.8170	-106.9750	3859.19	-999	1.5600	60	B	2	50	
628	628	152888	  44.8170	-106.9750	3859.19	-999	1.5600	60	B	2	50	
629	629	152890	  44.8170	-106.8920	3835.30	-999	1.9200	60	B	2	50	
63	63	152887	  44.8170	-107.0170	4041.08	-999	1.9200	60	B	2	50	
630	630	152882	  44.8170	-107.2250	4371.00	-999	1.9200	60	B	2	50	
631	631	152888	  44.8170	-106.9750	3859.19	-999	1.9200	60	B	2	50	
632	632	152882	  44.8170	-107.2250	4371.00	-999	1.9200	60	B	2	50	
633	633	152888	  44.8170	-106.9750	3859.19	-999	1.9200	60	B	2	50	
634	634	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
635	635	152891	  44.8170	-106.8500	3859.06	-999	1.9200	60	B	2	50	
636	636	152888	  44.8170	-106.9750	3859.19	-999	1.9200	60	B	2	50	
637	637	152891	  44.8170	-106.8500	3859.06	-999	1.9200	60	B	2	50	
638	638	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
639	639	152888	  44.8170	-106.9750	3859.19	-999	1.8868	60	B	2	50	
64	64	152888	  44.8170	-106.9750	3859.19	-999	1.9200	60	B	2	50	
640	640	152890	  44.8170	-106.8920	3835.30	-999	1.9200	60	B	2	50	
641	641	152890	  44.8170	-106.8920	3835.30	-999	1.9200	60	B	2	50	
642	642	152888	  44.8170	-106.9750	3859.19	-999	1.5600	60	B	2	50	
643	643	152888	  44.8170	-106.9750	3859.19	-999	1.5600	60	B	2	50	
644	644	152890	  44.8170	-106.8920	3835.30	-999	1.9200	60	B	2	50	
645	645	152888	  44.8170	-106.9750	3859.19	-999	1.9200	60	B	2	50	
646	646	152887	  44.8170	-107.0170	4041.08	-999	1.9200	60	B	2	50	
647	647	152882	  44.8170	-107.2250	4371.00	-999	1.9200	60	B	2	50	
648	648	152889	  44.8170	-106.9330	3821.26	-999	1.9200	60	B	2	50	
649	649	152887	  44.8170	-107.0170	4041.08	-999	1.9200	60	B	2	50	
65	65	152888	  44.8170	-106.9750	3859.19	-999	1.9200	60	B	2	50	
650	650	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
651	651	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
652	652	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
653	653	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
654	654	152890	  44.8170	-106.8920	3835.30	-999	1.9200	60	B	2	50	
655	655	152881	  44.8170	-107.2670	4554.72	-999	1.4400	60	B	2	50	
656	656	152888	  44.8170	-106.9750	3859.19	-999	1.9200	60	B	2	50	
657	657	152882	  44.8170	-107.2250	4371.00	-999	1.9200	60	B	2	50	
658	658	152890	  44.8170	-106.8920	3835.30	-999	1.9200	60	B	2	50	
659	659	152885	  44.8170	-107.1000	4223.23	-999	1.9200	60	B	2	50	
66	66	152881	  44.8170	-107.2670	4554.72	-999	1.4400	60	B	2	50	
660	660	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
661	661	152885	  44.8170	-107.1000	4223.23	-999	1.9200	60	B	2	50	
662	662	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
663	663	152885	  44.8170	-107.1000	4223.23	-999	1.9200	60	B	2	50	
664	664	152885	  44.8170	-107.1000	4223.23	-999	1.9200	60	B	2	50	
665	665	152882	  44.8170	-107.2250	4371.00	-999	1.4400	60	B	2	50	
666	666	152888	  44.8170	-106.9750	3859.19	-999	1.8000	60	B	2	50	
667	667	152885	  44.8170	-107.1000	4223.23	-999	1.9200	60	B	2	50	
668	668	152885	  44.8170	-107.1000	4223.23	-999	1.9200	60	B	2	50	
669	669	152882	  44.8170	-107.2250	4371.00	-999	1.8488	60	B	2	50	
67	67	152891	  44.8170	-106.8500	3859.06	-999	1.9200	60	B	2	50	
670	670	152890	  44.8170	-106.8920	3835.30	-999	1.9200	60	B	2	50	
671	671	152890	  44.8170	-106.8920	3835.30	-999	1.9200	60	B	2	50	
672	672	152882	  44.8170	-107.2250	4371.00	-999	1.9200	60	B	2	50	
673	673	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
674	674	152892	  44.8170	-106.8080	3853.41	-999	1.9200	60	B	2	50	
675	675	152888	  44.8170	-106.9750	3859.19	-999	1.8000	60	B	2	50	
676	676	152885	  44.8170	-107.1000	4223.23	-999	1.9200	60	B	2	50	
677	677	152885	  44.8170	-107.1000	4223.23	-999	1.9200	60	B	2	50	
678	678	152881	  44.8170	-107.2670	4554.72	-999	1.5600	60	B	2	50	
679	679	152883	  44.8170	-107.1830	4187.27	-999	1.9200	60	B	2	50	
68	68	152890	  44.8170	-106.8920	3835.30	-999	1.9200	60	B	2	50	
680	680	152884	  44.8170	-107.1420	4345.14	-999	1.9200	60	B	2	50	
681	681	152884	  44.8170	-107.1420	4345.14	-999	1.9200	60	B	2	50	
